FID,anzahl_els,anzahl_lp_ac,anzahl_lp_alle,anzahl_lp_dc,anzahl_stpl,aufstelldatum,bemerkung,stadtbezirk,standort,haupttyp,haupttyp_bedeutung,shape
opendata_ruhver_els_point.59,1,2,2,0,2,2017-07-21T00:00:00,,10,Pelkovenstraße 70 / Leipziger Straße,0,In Betrieb befindliche Ladesäulen,POINT (687202.491200745 5339563.784498225)
opendata_ruhver_els_point.60,2,4,4,0,4,2017-07-21T00:00:00,,10,Bunzlauer Straße 22-30,0,In Betrieb befindliche Ladesäulen,POINT (686468.9518007308 5339443.216098265)
opendata_ruhver_els_point.61,1,2,2,0,2,2017-07-14T00:00:00,,23,Hiltlstraße 45,0,In Betrieb befindliche Ladesäulen,POINT (684422.2090006915 5339695.607298371)
opendata_ruhver_els_point.62,1,2,2,0,2,2017-07-14T00:00:00,,23,ggü St.-Johann-Straße 2,0,In Betrieb befindliche Ladesäulen,POINT (683233.5580006693 5340613.617998427)
opendata_ruhver_els_point.63,2,4,4,0,4,2018-07-18T00:00:00,,21,Wöhlerstr. / Faistenlohestr. 15,0,In Betrieb befindliche Ladesäulen,POINT (683238.8771006698 5338042.35149843)
opendata_ruhver_els_point.64,2,4,4,0,4,2017-09-01T00:00:00,,21,Packenreiterstraße 43,0,In Betrieb befindliche Ladesäulen,POINT (684064.964500685 5337457.726598391)
opendata_ruhver_els_point.65,2,4,4,0,4,2018-07-18T00:00:00,,21,Menterstr. 120,0,In Betrieb befindliche Ladesäulen,POINT (683486.9483006746 5337148.506698418)
opendata_ruhver_els_point.66,2,4,4,0,4,2018-07-18T00:00:00,,21,Lucia-Popp-Bogen / Bergsonstraße 101c,0,In Betrieb befindliche Ladesäulen,POINT (681160.4052006328 5337324.091898526)
opendata_ruhver_els_point.67,1,4,4,0,4,2018-07-18T00:00:00,"Zu Beginn bis 10/2019 2 Ladesäulen, dann Umzug in Balanstr. 382",21,Kremser Str. 21,0,In Betrieb befindliche Ladesäulen,POINT (684393.5934006915 5335383.475298379)
opendata_ruhver_els_point.68,1,2,2,0,2,2018-07-18T00:00:00,,21,Lohensteinstr.8,0,In Betrieb befindliche Ladesäulen,POINT (684627.9193006959 5335129.509898366)
opendata_ruhver_els_point.69,2,4,4,0,4,2017-09-19T00:00:00,,25,Gotthardstraße ggü. 58 + 60,0,In Betrieb befindliche Ladesäulen,POINT (685932.362700721 5334386.631398302)
opendata_ruhver_els_point.70,2,4,4,0,4,2017-10-13T00:00:00,,9,Trivastr. 18,0,In Betrieb befindliche Ladesäulen,POINT (688964.064900781 5337375.668898128)
opendata_ruhver_els_point.71,1,2,2,0,2,2017-10-12T00:00:00,,9,Leonrodplatz 5,0,In Betrieb befindliche Ladesäulen,POINT (689380.2458007897 5337151.415498103)
opendata_ruhver_els_point.72,2,4,4,0,4,2017-10-06T00:00:00,,9,Artilleriestr. 13,0,In Betrieb befindliche Ladesäulen,POINT (688852.2512007788 5336864.083298136)
opendata_ruhver_els_point.73,1,2,2,0,2,2017-03-17T00:00:00,,9,Albrechtstr. 2/Lazarettstr.,0,In Betrieb befindliche Ladesäulen,POINT (689279.0095007878 5336250.678998111)
opendata_ruhver_els_point.74,1,2,2,0,2,2017-10-13T00:00:00,,25,Friedenheimer Str. 33,0,In Betrieb befindliche Ladesäulen,POINT (686794.9239007379 5334773.550998256)
opendata_ruhver_els_point.75,2,4,4,0,4,2018-06-13T00:00:00,,3,Hopfenstr. 7,0,In Betrieb befindliche Ladesäulen,POINT (690021.9579008033 5335420.843698068)
opendata_ruhver_els_point.76,2,4,4,0,4,2017-08-01T00:00:00,,2,Grasserstr. 6,0,In Betrieb befindliche Ladesäulen,POINT (689559.6443007938 5335020.191398096)
opendata_ruhver_els_point.77,1,2,2,0,2,2017-12-11T00:00:00,,1,Tal 36,0,In Betrieb befindliche Ladesäulen,POINT (691974.7590008454 5334596.102797947)
opendata_ruhver_els_point.78,2,4,4,0,4,2017-12-04T00:00:00,,1,Westenriederstr. ggü. 39/41,0,In Betrieb befindliche Ladesäulen,POINT (691935.9703008445 5334522.24169795)
opendata_ruhver_els_point.79,2,4,4,0,4,2017-07-21T00:00:00,,2,Rumfordstraße 7/Reichenbachplatz,0,In Betrieb befindliche Ladesäulen,POINT (691682.342600839 5334337.211097966)
opendata_ruhver_els_point.80,2,4,4,0,4,2017-04-27T00:00:00,,8,Ligsalzstr. 44,0,In Betrieb befindliche Ladesäulen,POINT (689108.3417007845 5334328.136698126)
opendata_ruhver_els_point.81,1,2,2,0,2,2018-08-08T00:00:00,,2,Beethovenspl. 4,0,In Betrieb befindliche Ladesäulen,POINT (690329.5505008099 5334199.539298053)
opendata_ruhver_els_point.82,2,4,4,0,4,2018-08-08T00:00:00,,8,Hans-Fischer-Str. 10,0,In Betrieb befindliche Ladesäulen,POINT (689294.9635007884 5333655.827698117)
opendata_ruhver_els_point.83,2,4,4,0,4,2017-06-08T00:00:00,,2,Bavariastr. 5a,0,In Betrieb befindliche Ladesäulen,POINT (689465.8207007921 5333497.306098106)
opendata_ruhver_els_point.84,2,4,4,0,4,2017-11-10T00:00:00,,6,Ganghoferstr. 94-96,0,In Betrieb befindliche Ladesäulen,POINT (688927.315600781 5333474.370498138)
opendata_ruhver_els_point.85,2,4,4,0,4,2018-06-13T00:00:00,,6,Daiserstr. 1 / Lindwurmstraße 203,0,In Betrieb befindliche Ladesäulen,POINT (689316.2698007891 5332984.276498116)
opendata_ruhver_els_point.86,1,2,2,0,2,2017-06-12T00:00:00,,6,Implerstr. 28,0,In Betrieb befindliche Ladesäulen,POINT (689638.9648007958 5332841.439498098)
opendata_ruhver_els_point.87,2,4,4,0,4,2017-05-18T00:00:00,,7,Nestroystraße 7,0,In Betrieb befindliche Ladesäulen,POINT (688619.7176007747 5332893.125798156)
opendata_ruhver_els_point.88,2,4,4,0,4,2017-06-19T00:00:00,,7,Sachsenkamstr. 2,0,In Betrieb befindliche Ladesäulen,POINT (687989.7244007621 5332259.987298193)
opendata_ruhver_els_point.89,2,4,4,0,4,2018-08-08T00:00:00,,6,Lindenschmitstr. 11,0,In Betrieb befindliche Ladesäulen,POINT (689399.6741007919 5332582.837598111)
opendata_ruhver_els_point.90,2,4,4,0,4,2017-10-12T00:00:00,,7,Johann-Clanze-Str.24,0,In Betrieb befindliche Ladesäulen,POINT (688620.441900775 5331934.534198157)
opendata_ruhver_els_point.91,3,6,6,0,6,2017-09-14T00:00:00,,18,Krumpterstr. 6,0,In Betrieb befindliche Ladesäulen,POINT (691321.7434008317 5332058.623997995)
opendata_ruhver_els_point.92,1,2,2,0,2,2017-03-27T00:00:00,,17,Werinherstr. 2,0,In Betrieb befindliche Ladesäulen,POINT (692082.4401008482 5332360.635897945)
opendata_ruhver_els_point.93,2,4,4,0,4,2017-10-13T00:00:00,,17,Herzogstandstr. 6,0,In Betrieb befindliche Ladesäulen,POINT (692253.8694008519 5332376.425497932)
opendata_ruhver_els_point.94,1,2,2,0,2,2017-05-12T00:00:00,,20,Guardinistr. 46 in Stiftsbogen,0,In Betrieb befindliche Ladesäulen,POINT (685686.3467007165 5332380.394198316)
opendata_ruhver_els_point.95,1,2,2,0,2,2017-05-12T00:00:00,,20,Marchioninistr. 10,0,In Betrieb befindliche Ladesäulen,POINT (684317.9164006907 5331871.315898385)
opendata_ruhver_els_point.96,1,2,2,0,2,2017-06-19T00:00:00,,7,Waldfriedhofstr. 115 in Pählstraße,0,In Betrieb befindliche Ladesäulen,POINT (686353.1488007297 5331759.694498284)
opendata_ruhver_els_point.97,2,4,4,0,4,2017-09-27T00:00:00,,19,Appenzellerstraße 19,0,In Betrieb befindliche Ladesäulen,POINT (684625.4324006969 5329291.750198374)
opendata_ruhver_els_point.98,3,6,6,0,6,2018-06-06T00:00:00,,19,ggü. Sollner Str. 67,0,In Betrieb befindliche Ladesäulen,POINT (688142.0069007659 5327969.13889819)
opendata_ruhver_els_point.99,2,4,4,0,4,2017-09-27T00:00:00,,19,Gmunderstr. 35-35a,0,In Betrieb befindliche Ladesäulen,POINT (688104.4432007647 5330206.939098189)
opendata_ruhver_els_point.100,1,2,2,0,2,2018-06-06T00:00:00,,19,ggü. Colmarer Str. 1,0,In Betrieb befindliche Ladesäulen,POINT (688930.3808007818 5330080.432098142)
opendata_ruhver_els_point.101,2,4,4,0,4,2018-07-11T00:00:00,,19,Kleinstr. 2,0,In Betrieb befindliche Ladesäulen,POINT (689076.3865007847 5330520.335398135)
opendata_ruhver_els_point.102,1,2,2,0,2,2017-05-18T00:00:00,,19,Alfred-Schmid-Str. 34,0,In Betrieb befindliche Ladesäulen,POINT (689555.8421007944 5330879.638598106)
opendata_ruhver_els_point.103,1,2,2,0,2,2017-05-18T00:00:00,,19,Am Isarkanal 36,0,In Betrieb befindliche Ladesäulen,POINT (689717.2357007978 5330783.143998096)
opendata_ruhver_els_point.104,2,4,4,0,4,2018-07-11T00:00:00,,6,Schöttlstr. 18,0,In Betrieb befindliche Ladesäulen,POINT (688822.8639007792 5331538.5214981465)
opendata_ruhver_els_point.105,2,4,4,0,4,2019-10-16T00:00:00,,16,Laibacher Str. 1,0,In Betrieb befindliche Ladesäulen,POINT (693836.1081008872 5332477.319597826)
opendata_ruhver_els_point.106,1,4,4,0,4,2019-04-17T00:00:00,,16,Adam-Berg-Str. 24,0,In Betrieb befindliche Ladesäulen,POINT (695197.4377009186 5332245.63149773)
opendata_ruhver_els_point.107,2,4,4,0,4,2019-09-25T00:00:00,,17,Hohenwaldeckstr. 18,0,In Betrieb befindliche Ladesäulen,POINT (693068.2237008698 5332494.1720978785)
opendata_ruhver_els_point.108,1,2,2,0,2,2018-12-27T00:00:00,,18,Theodolindenstr. 2a,0,In Betrieb befindliche Ladesäulen,POINT (690473.814200814 5329456.424598052)
opendata_ruhver_els_point.109,2,4,4,0,4,2019-09-04T00:00:00,,19,St.-Wendel-Str. 54,0,In Betrieb befindliche Ladesäulen,POINT (688755.8660007783 5329528.161398153)
opendata_ruhver_els_point.110,1,2,2,0,2,2019-10-16T00:00:00,,19,Friedastr. 25,0,In Betrieb befindliche Ladesäulen,POINT (688260.9989007683 5328404.447898183)
